<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DATA,D,20210506,00:00:00,61.34,61.76,61.16,71.34,
DATA,D,20210507,00:00:00,61.98,62.24,61.84,71.98,
DATA,D,20210510,00:00:00,62.04,62.74,61.92,72.04,
DATA,D,20210511,00:00:00,62.5,62.68,61.74,72.5,
DATA,D,20210512,00:00:00,62.1,62.6,62.04,72.1,
DATA,D,20210513,00:00:00,61.88,62.06,61.34,71.88,
DATA,D,20210514,00:00:00,62.28,62.44,61.84,72.28,
DATA,D,20210517,00:00:00,62.12,62.34,61.76,72.12,
DATA,D,20210518,00:00:00,62.2,62.98,62.2,72.2,
DATA,D,20210519,00:00:00,63.04,63.04,61.64,73.04,
DATA,D,20210520,00:00:00,61.94,62.3,61.2,71.94,
DATA,D,20210521,00:00:00,62.02,62.42,61.7,72.02,
DATA,D,20210524,00:00:00,62.3,62.64,62.12,72.3,
DATA,D,20210525,00:00:00,62.48,62.9,62.42,72.48,
DATA,D,20210526,00:00:00,62.92,63.24,62.78,72.92,
DATA,D,20210527,00:00:00,63.14,63.64,63,73.14,
DATA,D,20210528,00:00:00,63.76,63.94,63.5,73.76,
DATA,D,20210531,00:00:00,63.64,63.84,63.58,73.64,
DATA,D,20210601,00:00:00,63.76,64.76,63.76,73.76,
DATA,D,20210602,00:00:00,64.56,64.94,64.46,74.56,
DATA,D,20210603,00:00:00,65.54,65.6,64.5,75.54,
DATA,D,20210604,00:00:00,65.12,65.2,64.5,75.12,
DATA,D,20210607,00:00:00,65.3,65.42,65,75.3,
DATA,D,20210608,00:00:00,65.32,65.6,65.06,75.32,
DATA,D,20210609,00:00:00,65.24,65.6,65.2,75.24,
DATA,D,20210610,00:00:00,65.68,65.78,65.42,75.68,
DATA,D,20210611,00:00:00,65.74,65.92,65.5,75.74,
DATA,D,20210614,00:00:00,65.86,66.16,65.84,75.86,
DATA,D,20210615,00:00:00,66.2,66.24,65.5,76.2,
DATA,D,20210616,00:00:00,65.84,65.84,65,75.84,
DATA,D,20210617,00:00:00,65.44,65.6,64.86,75.44,
DATA,D,20210618,00:00:00,65.1,65.36,64.5,75.1,
DATA,D,20210621,00:00:00,65.12,65.3,64.8,75.12,
DATA,D,20210622,00:00:00,65.56,65.64,65.3,75.56,
DATA,D,20210623,00:00:00,65.68,65.9,65.48,75.68,
DATA,D,20210624,00:00:00,65.7,65.82,65,75.7,
DATA,D,20210625,00:00:00,65.46,65.64,65.02,75.46,
